,Title,Summary,Location,Company,Salary
66,"Head of Data Analytics, AI & ML Growth Team","Experience working within the data and analytics ecosystem.Help define the market segments, customer base, functional, technical and industry data and AI/ML…",Singapore,Amazon Web Services Singapore,
67,Big Data Architect,"Deep experience with distributed systems, large scale non-relational data stores, map-reduce systems, data modeling, database performance, and multi-terabyte…",Singapore,IBM,
68,Data Scientist,"Participate in data exploration activities for businesses, uncovering patterns in the data usage.Bring the best-in-class practices to the engineering/project…",Singapore,Thales Group,
69,"Principal Specialist, Data Science","Apply data analysis, data mining and data processing to present data clearly.Data Governance and Healthcare data standards.",Singapore,Morgan McKinley,"$10,000 - $14,000 a month"
70,"ED / SVP, Platform Architect, Group Consumer Banking and Big...","Expertise in data modelling, data governance, data mastering, meta-data management, data security and compliance, data lifecycle management, data-tiering and…",Singapore,DBS Bank,
71,"Enterprise Architect Singapore,","Data Modeling, Analysis & Administration (big data, NoSQL, relational database, ETL, event-driven).We look beyond the barriers of compromise to engineer new…",Singapore,VMware,
72,Head of Data Analytics,"You shall develop a team of data practitioners to enable and support a culture of data analytics, which include data scientists, data engineers, data analysts…",Singapore,Global Search Partners Pte Ltd,
73,ASPAC Process Architect,"Be the IS Customer Process Architect for Asia.Ability to scope a topic during a project in your Process Architect role:Dec 19, 2019, 4:26:28 AM.",Singapore,bioMerieux,
74,Senior Technical Architect,Evaluate each opportunity for alignment with Dimension Data capabilities and business policy.The Senior Technical Architect is a mid-level position in the…,Kallang,Dimension Data,
75,Analytics Architect,Minimum 10-12 years’ work experience in Analytics and Data Science.At least 4 to 5 years of Data Science Experience.,Singapore,DXC,
76,Cloud Engineer / Senior Cloud Engineer,"Ability to architect, deliver, and support cloud-based systems.Design and implement large-scale globally distributed systems utilising cloud, data,…",Singapore,S & I SYSTEMS PTE LTD,"$5,000 - $9,000 a month"
77,Data Engineer - Financial Services,Working with data analyst on initiatives to provide dash boards for important and useful real-time data in a user friendly presentation.,Singapore,Snaphunt Pte Ltd,
78,Solution Architect,"Highly adaptive to a changing technology landscape, you will work with other Solution Architect and Data Architect to produce high-level and detailed designs.",Singapore,Manulife,
79,Big Data Architect,"Lead and facilitate techno-functional design workshops & project implementation involving big data platform,data analytics solutions & data visualisation;",Singapore,Sciente Consulting Pte. Ltd,
80,Modelling and Simulation Engineer,"As a Modelling and Simulation Engineer, you will implement geospatial platforms and solutions, design and architect geospatial systems.",Singapore,Government Technology Agency,
81,Senior Data Engineer,"Minimally 5 years of work experience, preferably all in data engineering where you developed data pipelines and workflows end-to-end.",Singapore,NextWave Partners,
82,Data Scientist (Associate & Senior),The Data Scientist analyses data through application of scientific methods and data-discovery tools.2)Individually or collaborate with other team members to…,Singapore,Enggsol Pte Ltd,
83,Lead Architect,"Exyte has a truly global footprint, serving the most technically demanding clients in markets such as semiconductors, batteries, pharmaceuticals, biotechnology,…",Singapore,Exyte,
84,Solution Architect (NDI - Trusted Data),"SQL, NoSQL databases, in-memory data grid (e.g.Degree in Computer Science/ Engineering, Information Technology, Electronics Engineering, or equivalence.",Singapore,Government Technology Agency,
85,Technology Business Analyst,"Work with Solution Architects, Data Modelers, Systems Analysts, and Source system support teams to produce high quality deliverables.",Singapore,OCBC Bank,
86,Country Consulting Head - Singapore,Join our growing global team and accelerate your career with Dimension Data.The main objective of this job is to establish and grow the local consulting…,Kallang,Dimension Data,
87,Software Engineer (ETL),"You possess sound knowledge in Data Warehousing and Data Lake concepts.You possess a degree in Computer Science, Engineering or related field.",Singapore,Snaphunt Pte Ltd,
88,Consulting Engineer - Singapore,"Deep experience building and operating in-production Big Data, stream processing, and/or enterprise data integration solutions using Apache Kafka.",Singapore,Confluent,
89,Senior Experience Designer - Freelance,High tolerance for ambiguity and big data with the ability to organize information flawlessly.4+ years' experience as Experience UX/Interaction Designer or…,Central Singapore,Publicis Sapient,
90,Enterprise Architect,"Experience and understanding of multiple technical domains - application, data, integration, big data, mobility, analytics, BPM, CEM/CCM, etc.",Singapore,OpenText,
91,Solution Architect,"The Solution Architect is responsible for:The Solution Architect needs to have:If you have the interest in the Solution Architect role, feel free to contact…",Singapore,,
92,Cloud Architect,"Bachelor’s degree in computer science or equivalent.Offer guidance in cloud transformation and migration techniques, involving potentially large and complex…",Singapore,NCS,
93,Security Architect,"Manage reporting, investigation, and resolution of data security incidents.The Security Architect is responsible for partnering with internal and client…",Central Singapore,Avanade,
94,Data Engneering (Visualisation),"As a Data Engineer in GovTech’s Data Science & Artificial Intelligence Division, you will be involved in managing and running visualization and analytics…",Singapore,Government Technology Agency,
95,Sales Engineer,"The Sales Engineer (Pre-sales) will identify, design, architect and provide information security technical solutions for customers in support of the Sales team.",Singapore,Trustwave,
96,Data Center Solution Architect,"Responsible for analyzing, designing & developing commercially viable end-to-end technical solutions for the customers.",Outram,Tranglobe Solutions Pte Ltd,
97,Overall System Architect,Work experience as business architect at least 5 years.The Overall System Architect owns conceptional business architecture for data driven and services…,Central Singapore,Siemens AG,
98,Software Solution Architect,"Experience as solution architect esp.Or higher in Computer Science, Information Technology or other relevant discipline.",Singapore,DHI WATER & ENVIRONMENT (S) PTE. LTD.,"$5,000 - $8,000 a month"
99,Genomics Big Data Architect (18 mth contract),Your expertise in delivering large scale system integration projects along with your knowledge of big data storage as well as bioinformatics data would be…,Singapore,Kerry Consulting Pte Ltd,
100,"AVP/VP, Data Architect","Work closely with data analysts, data scientists and business end-users to synthesise data requirements for the creation of large-scale data models and data…",Singapore,GIC Investment,
101,Senior Engineer Naval Architect,Fircroft is registered as a Data Controller with the Information Commissioner as required under the General Data Protection Regulation 2016/679.,Singapore,Fircroft,
102,Data Engineer,Design and build reliable data pipelines that will efficiently move data to our Data Warehouse.2+ years of working experience with dimensional data modelling &…,Singapore,Shopee,
103,Software Engineer,Proactively maintain and ensure integrity (completeness) of system and sub-system data.Williams Sonoma is seeking a candidate for a software engineer role…,Singapore,"Williams-Sonoma, Inc.",
104,Solution Architect,Able to perform the role of Enterprise Architect or Lead Architect on key Microsoft cloud technology with focus on Dynamics 365 suite of solutions and the…,Singapore,NCS,
105,Systems Engineer,"Data Protection experience strongly desired.Join Veeam, the #1 Cloud Data Management provider, today.Experience in data life cycle management with IT audit…",Singapore,Veeam Software,
106,Principal Architect,Applies judgement in evaluating and proposing recommendations to resolve issues that often require deep analysis and interpretation of data.,Singapore,BMC Software,
107,Solutions Architect,"Bachelor's degree in Computer Science or related engineering discipline preferred · Advanced industry certifications (i.e.Cisco, VMware, MS, AWS) preferred.",Singapore,Equinix,
