,Title,Summary,Location,Company,Salary,City,Sal,Pay,Annual,entry_job,senior_job,temp_job
10,Financial Reporting Analyst,Job Skill: Financial Reporting Analyst.The Financial Reporting Analyst role is focused on providing data to the business in the form of reports and dashboards.,Belfast,VANRATH,"£25,000 - £35,000 a year",Belfast,30000.0,0,1,0,0,0
11,Procurement Analyst,"Procurement Analyst (Belfast City Centre).Maintaining the supplier master data on an ongoing basis.Job Skill: procurement analyst, procurement administrator,…",Belfast,VANRATH,"£25,000 - £35,000 a year",Belfast,30000.0,0,1,0,0,0
12,KYC Analyst,Job Title: Senior KYC Analyst.Ongoing maintenance/refresh of existing customer data.Research and validation of customer identification data/evidence using…,Belfast,Morgan McKinley,"£20,000 - £40,000 a year",Belfast,30000.0,0,1,0,0,0
13,Business Analyst (1year experience),"Conceptual and logical data modeling experience.Bachelor’s degree, preferably in information or related sciences or engineering programs.",Belfast,VANRATH,"£22,000 - £25,000 a year",Belfast,23500.0,0,1,0,0,0
14,SQL DBA,This is a fantastic stepping stone for someone with only a year or two SQL DBA or Data analyst experience and a chance to further enhance knowledge within this…,Belfast,VANRATH,"£25,000 - £30,000 a year",Belfast,27500.0,0,1,0,0,0
15,Graduate Opportunity (Belfast),Data extraction from multiple internal systems and manipulation of this data.VANRATH are pleased to be recruiting a Graduate role for an Analytical role within…,Belfast,VANRATH,"£20,000 - £23,000 a year",Belfast,21500.0,0,1,1,0,0
16,Senior Business Analyst,Extract data from core systems to generate management information (e.g. properties passed);It is desirable for applicants to be educated to graduate level from…,Belfast,Apple Recruitment,"£28,000 - £32,000 a year",Belfast,30000.0,0,1,0,1,0
17,Project Analyst,Ability to analyse and interpret data.Abacus Professional Recruitment have been retained by a leading global financial services firm to recruit an experienced…,Belfast,Abacus Professional Recruitment,"£24,000 a year",Belfast,24000.0,0,1,0,0,0
18,Project Manager (Procurement),"Maintaining the supplier master data on an ongoing basis.Job Skill: procurement analyst, procurement administrator, Process improvement, Belfast City Centre,…",Belfast,VANRATH,"£30,000 - £40,000 a year",Belfast,35000.0,0,1,0,1,0
19,Quality Assurance Analyst – Finance sector,"Quality Assurance Analyst – Finance sector.Job Skill: titanic, career, qe, professional, Legal, Assurance, Automation, Bash, Belfast, c++, Cloud, Cucumber,…",Belfast,VANRATH,"£35,000 - £45,000 a year",Belfast,40000.0,1,1,0,0,0
20,Test Lead,"Solid system integration and release testing experience including test scenarios, data setup, test execution and problem solving.",Belfast,VANRATH,"£35,000 - £42,000 a year",Belfast,38500.0,1,1,0,1,0
21,QA Lead,"Solid system integration and release testing experience including test scenarios, data setup, test execution and problem solving.",Belfast,VANRATH,"£35,000 - £49,000 a year",Belfast,42000.0,1,1,0,1,0
22,".NET Developer, C#, .NET Core, Angular 6, Web API 2- Folkest...","DB, Raven.DB, NoSQL, Analyst Programmer, Engineer, Architect, Consultant, .NET Developer to help build the software applications and cloud platforms that they…",Folkestone,Noir Consulting,"£40,000 - £45,000 a year",Rest of UK,42500.0,1,1,0,0,0
23,Intelligence Analyst Counter Terrorism,"Intelligence Analyst, Defense, Police, Government, Security, Research.Ideally you will have substantive current role-related experience as an Analyst in a…",Folkestone,Kent Police and Essex Police,"£26,292 - £31,161 a year",Rest of UK,28726.5,0,1,0,0,0
