,Title,Location,Company,Salary
20,Data Analyst,"Centurion, Gauteng",Human Capital Solutions Africa,R25 000 - R40 000 a month
21,Business Analyst,"Midrand, Gauteng",DBSA,
22,Manager: Data Analytics Centre of Excellence (COE) - Cnturio...,"Centurion, Gauteng",Barloworld Logistics Africa,
23,Forecasting Analyst,"Midrand, Gauteng",Famous Brands,
24,Test Analyst/Software Tester,"Pretoria, Gauteng",Fourier Recruitment,R500 000 - R700 000 a year
25,"Analyst, Cancer","Pretoria, Gauteng",Clinton Health Access Initiative,
26,Data Analyst,"Centurion, Gauteng",Network Recruitment (South Africa),R450 000 - R500 000 a year
27,Sales Data Analyst,"Pretoria, Gauteng",GAST Group,R20 000 - R30 000 a month
28,Data Analyst - Centurion (Gauteng),"Centurion, Gauteng",Barloworld Logistics Africa,
29,Data Analyst,"Pretoria, Gauteng",Ulwembu Business Services,
30,Data Analyst,"Centurion, Gauteng",Human Capital Solutions Africa,R25 000 - R40 000 a month
31,Business Analyst,"Midrand, Gauteng",DBSA,
32,Manager: Data Analytics Centre of Excellence (COE) - Cnturio...,"Centurion, Gauteng",Barloworld Logistics Africa,
33,Forecasting Analyst,"Midrand, Gauteng",Famous Brands,
34,Test Analyst/Software Tester,"Pretoria, Gauteng",Fourier Recruitment,R500 000 - R700 000 a year
35,"Analyst, Cancer","Pretoria, Gauteng",Clinton Health Access Initiative,
36,Data Analyst,"Centurion, Gauteng",Network Recruitment (South Africa),R450 000 - R500 000 a year
37,Sales Data Analyst,"Pretoria, Gauteng",GAST Group,R20 000 - R30 000 a month
38,Data Analyst - Centurion (Gauteng),"Centurion, Gauteng",Barloworld Logistics Africa,
39,Data Analyst,"Pretoria, Gauteng",Ulwembu Business Services,
40,Data Analyst,"Centurion, Gauteng",Human Capital Solutions Africa,R25 000 - R40 000 a month
41,Business Analyst,"Midrand, Gauteng",DBSA,
42,Manager: Data Analytics Centre of Excellence (COE) - Cnturio...,"Centurion, Gauteng",Barloworld Logistics Africa,
43,Forecasting Analyst,"Midrand, Gauteng",Famous Brands,
44,Test Analyst/Software Tester,"Pretoria, Gauteng",Fourier Recruitment,R500 000 - R700 000 a year
45,"Analyst, Cancer","Pretoria, Gauteng",Clinton Health Access Initiative,
46,Data Analyst,"Centurion, Gauteng",Network Recruitment (South Africa),R450 000 - R500 000 a year
47,Sales Data Analyst,"Pretoria, Gauteng",GAST Group,R20 000 - R30 000 a month
48,Data Analyst - Centurion (Gauteng),"Centurion, Gauteng",Barloworld Logistics Africa,
49,Data Analyst,"Pretoria, Gauteng",Ulwembu Business Services,
50,Data Analyst,"Centurion, Gauteng",Human Capital Solutions Africa,R25 000 - R40 000 a month
51,Business Analyst,"Midrand, Gauteng",DBSA,
52,Manager: Data Analytics Centre of Excellence (COE) - Cnturio...,"Centurion, Gauteng",Barloworld Logistics Africa,
53,Forecasting Analyst,"Midrand, Gauteng",Famous Brands,
54,Test Analyst/Software Tester,"Pretoria, Gauteng",Fourier Recruitment,R500 000 - R700 000 a year
55,"Analyst, Cancer","Pretoria, Gauteng",Clinton Health Access Initiative,
56,Data Analyst,"Centurion, Gauteng",Network Recruitment (South Africa),R450 000 - R500 000 a year
57,Sales Data Analyst,"Pretoria, Gauteng",GAST Group,R20 000 - R30 000 a month
58,Data Analyst - Centurion (Gauteng),"Centurion, Gauteng",Barloworld Logistics Africa,
59,Data Analyst,"Pretoria, Gauteng",Ulwembu Business Services,
60,Data Analyst,"Centurion, Gauteng",Human Capital Solutions Africa,R25 000 - R40 000 a month
61,Business Analyst,"Midrand, Gauteng",DBSA,
62,Manager: Data Analytics Centre of Excellence (COE) - Cnturio...,"Centurion, Gauteng",Barloworld Logistics Africa,
63,Forecasting Analyst,"Midrand, Gauteng",Famous Brands,
64,Test Analyst/Software Tester,"Pretoria, Gauteng",Fourier Recruitment,R500 000 - R700 000 a year
65,"Analyst, Cancer","Pretoria, Gauteng",Clinton Health Access Initiative,
66,Data Analyst,"Centurion, Gauteng",Network Recruitment (South Africa),R450 000 - R500 000 a year
67,Sales Data Analyst,"Pretoria, Gauteng",GAST Group,R20 000 - R30 000 a month
68,Data Analyst - Centurion (Gauteng),"Centurion, Gauteng",Barloworld Logistics Africa,
69,Data Analyst,"Pretoria, Gauteng",Ulwembu Business Services,
70,Data Analyst,"Centurion, Gauteng",Human Capital Solutions Africa,R25 000 - R40 000 a month
71,Business Analyst,"Midrand, Gauteng",DBSA,
72,Manager: Data Analytics Centre of Excellence (COE) - Cnturio...,"Centurion, Gauteng",Barloworld Logistics Africa,
73,Forecasting Analyst,"Midrand, Gauteng",Famous Brands,
74,Test Analyst/Software Tester,"Pretoria, Gauteng",Fourier Recruitment,R500 000 - R700 000 a year
75,"Analyst, Cancer","Pretoria, Gauteng",Clinton Health Access Initiative,
76,Data Analyst,"Centurion, Gauteng",Network Recruitment (South Africa),R450 000 - R500 000 a year
77,Sales Data Analyst,"Pretoria, Gauteng",GAST Group,R20 000 - R30 000 a month
78,Data Analyst - Centurion (Gauteng),"Centurion, Gauteng",Barloworld Logistics Africa,
79,Data Analyst,"Pretoria, Gauteng",Ulwembu Business Services,
80,Data Analyst,"Centurion, Gauteng",Human Capital Solutions Africa,R25 000 - R40 000 a month
81,Business Analyst,"Midrand, Gauteng",DBSA,
82,Manager: Data Analytics Centre of Excellence (COE) - Cnturio...,"Centurion, Gauteng",Barloworld Logistics Africa,
83,Forecasting Analyst,"Midrand, Gauteng",Famous Brands,
84,Test Analyst/Software Tester,"Pretoria, Gauteng",Fourier Recruitment,R500 000 - R700 000 a year
85,"Analyst, Cancer","Pretoria, Gauteng",Clinton Health Access Initiative,
86,Data Analyst,"Centurion, Gauteng",Network Recruitment (South Africa),R450 000 - R500 000 a year
87,Sales Data Analyst,"Pretoria, Gauteng",GAST Group,R20 000 - R30 000 a month
88,Data Analyst - Centurion (Gauteng),"Centurion, Gauteng",Barloworld Logistics Africa,
89,Data Analyst,"Pretoria, Gauteng",Ulwembu Business Services,
90,Data Analyst,"Centurion, Gauteng",Human Capital Solutions Africa,R25 000 - R40 000 a month
91,Business Analyst,"Midrand, Gauteng",DBSA,
92,Manager: Data Analytics Centre of Excellence (COE) - Cnturio...,"Centurion, Gauteng",Barloworld Logistics Africa,
93,Forecasting Analyst,"Midrand, Gauteng",Famous Brands,
94,Test Analyst/Software Tester,"Pretoria, Gauteng",Fourier Recruitment,R500 000 - R700 000 a year
95,"Analyst, Cancer","Pretoria, Gauteng",Clinton Health Access Initiative,
96,Data Analyst,"Centurion, Gauteng",Network Recruitment (South Africa),R450 000 - R500 000 a year
97,Sales Data Analyst,"Pretoria, Gauteng",GAST Group,R20 000 - R30 000 a month
98,Data Analyst - Centurion (Gauteng),"Centurion, Gauteng",Barloworld Logistics Africa,
99,Data Analyst,"Pretoria, Gauteng",Ulwembu Business Services,
100,Data Analyst,"Centurion, Gauteng",Human Capital Solutions Africa,R25 000 - R40 000 a month
101,Business Analyst,"Midrand, Gauteng",DBSA,
102,Manager: Data Analytics Centre of Excellence (COE) - Cnturio...,"Centurion, Gauteng",Barloworld Logistics Africa,
103,Forecasting Analyst,"Midrand, Gauteng",Famous Brands,
104,Test Analyst/Software Tester,"Pretoria, Gauteng",Fourier Recruitment,R500 000 - R700 000 a year
105,"Analyst, Cancer","Pretoria, Gauteng",Clinton Health Access Initiative,
106,Data Analyst,"Centurion, Gauteng",Network Recruitment (South Africa),R450 000 - R500 000 a year
107,Supply Chain Analyst,"Westville, KwaZulu-Natal",RCL FOODS Careers,
108,Stock Analyst,"Durban, KwaZulu-Natal",RS Recruitment Services,R5 000 - R7 000 a month
109,Import & Export Analyst,"Westville, KwaZulu-Natal",RCL FOODS Careers,
110,Junior Data Analyst (DBN) (HLR7164),"Durban, KwaZulu-Natal",Helen Lucre Resourcing Pty Ltd,
111,EE Business Analyst,"Durban, KwaZulu-Natal",SHARON NUROCK RECRUITMENT CC,R800 000 a year
112,Data Engineer (DBN) (HLR7142),"Durban, KwaZulu-Natal",Helen Lucre Resourcing Pty Ltd,
113,Data Analyst (Durban) (HLR6863),"Durban, KwaZulu-Natal",Helen Lucre Resourcing Pty Ltd,
114,NRM ( Net Revenue Management) Lead,"Durban, KwaZulu-Natal",Unilever,
115,Data Analytics Team Leader,"Durban, KwaZulu-Natal",Green Marble Recruitment Consultants,
116,Project Management Senior Executive,"Durban, KwaZulu-Natal",KANTAR,
117,Supply Chain Analyst,"Westville, KwaZulu-Natal",RCL FOODS Careers,
118,Stock Analyst,"Durban, KwaZulu-Natal",RS Recruitment Services,R5 000 - R7 000 a month
119,Import & Export Analyst,"Westville, KwaZulu-Natal",RCL FOODS Careers,
120,Junior Data Analyst (DBN) (HLR7164),"Durban, KwaZulu-Natal",Helen Lucre Resourcing Pty Ltd,
121,EE Business Analyst,"Durban, KwaZulu-Natal",SHARON NUROCK RECRUITMENT CC,R800 000 a year
122,Data Engineer (DBN) (HLR7142),"Durban, KwaZulu-Natal",Helen Lucre Resourcing Pty Ltd,
123,Data Analyst (Durban) (HLR6863),"Durban, KwaZulu-Natal",Helen Lucre Resourcing Pty Ltd,
124,NRM ( Net Revenue Management) Lead,"Durban, KwaZulu-Natal",Unilever,
125,Data Analytics Team Leader,"Durban, KwaZulu-Natal",Green Marble Recruitment Consultants,
126,Project Management Senior Executive,"Durban, KwaZulu-Natal",KANTAR,
127,Supply Chain Analyst,"Westville, KwaZulu-Natal",RCL FOODS Careers,
128,Stock Analyst,"Durban, KwaZulu-Natal",RS Recruitment Services,R5 000 - R7 000 a month
129,Import & Export Analyst,"Westville, KwaZulu-Natal",RCL FOODS Careers,
130,Junior Data Analyst (DBN) (HLR7164),"Durban, KwaZulu-Natal",Helen Lucre Resourcing Pty Ltd,
131,EE Business Analyst,"Durban, KwaZulu-Natal",SHARON NUROCK RECRUITMENT CC,R800 000 a year
132,Data Engineer (DBN) (HLR7142),"Durban, KwaZulu-Natal",Helen Lucre Resourcing Pty Ltd,
133,Data Analyst (Durban) (HLR6863),"Durban, KwaZulu-Natal",Helen Lucre Resourcing Pty Ltd,
134,NRM ( Net Revenue Management) Lead,"Durban, KwaZulu-Natal",Unilever,
135,Data Analytics Team Leader,"Durban, KwaZulu-Natal",Green Marble Recruitment Consultants,
136,Project Management Senior Executive,"Durban, KwaZulu-Natal",KANTAR,
137,Data Analyst (PG 9),"Bellville, Western Cape",SPF: Actuarial,
138,IT Graduate/Data Engineer/Analyst (SQL/QlikView),"Cape Town, Western Cape",Fourier Recruitment,R180 000 - R240 000 a year
139,BI Data Analyst - Mr D Food,"Cape Town, Western Cape",takealot.com,
140,Data Analyst Intern,"Cape Town, Western Cape",Trusted Interns,R6 000 - R8 000 a month
141,Data Analyst,"Cape Town, Western Cape",PBT Group,
142,Data Analyst,"Cape Town, Western Cape",The Globevest Group,R20 000 - R40 000 a month
143,Data Analyst,"Bellville, Western Cape",Santam: Group Sourcing and Transformatio,
144,Data Analyst I - Price and Promotions,"Cape Town, Western Cape",Data Centrix,
145,Analyst,"Cape Town, Western Cape 8001",Financial Intelligence Centre (FIC),
146,Data Production Analyst,"Claremont, Western Cape",Kurtosys,
147,Data Analyst (PG 9),"Bellville, Western Cape",SPF: Actuarial,
148,IT Graduate/Data Engineer/Analyst (SQL/QlikView),"Cape Town, Western Cape",Fourier Recruitment,R180 000 - R240 000 a year
149,BI Data Analyst - Mr D Food,"Cape Town, Western Cape",takealot.com,
150,Data Analyst Intern,"Cape Town, Western Cape",Trusted Interns,R6 000 - R8 000 a month
151,Data Analyst,"Cape Town, Western Cape",PBT Group,
152,Data Analyst,"Cape Town, Western Cape",The Globevest Group,R20 000 - R40 000 a month
153,Data Analyst,"Bellville, Western Cape",Santam: Group Sourcing and Transformatio,
154,Data Analyst I - Price and Promotions,"Cape Town, Western Cape",Data Centrix,
155,Analyst,"Cape Town, Western Cape 8001",Financial Intelligence Centre (FIC),
156,Data Production Analyst,"Claremont, Western Cape",Kurtosys,
157,Data Analyst (PG 9),"Bellville, Western Cape",SPF: Actuarial,
158,IT Graduate/Data Engineer/Analyst (SQL/QlikView),"Cape Town, Western Cape",Fourier Recruitment,R180 000 - R240 000 a year
159,BI Data Analyst - Mr D Food,"Cape Town, Western Cape",takealot.com,
160,Data Analyst Intern,"Cape Town, Western Cape",Trusted Interns,R6 000 - R8 000 a month
161,Data Analyst,"Cape Town, Western Cape",PBT Group,
162,Data Analyst,"Cape Town, Western Cape",The Globevest Group,R20 000 - R40 000 a month
163,Data Analyst,"Bellville, Western Cape",Santam: Group Sourcing and Transformatio,
164,Data Analyst I - Price and Promotions,"Cape Town, Western Cape",Data Centrix,
165,Analyst,"Cape Town, Western Cape 8001",Financial Intelligence Centre (FIC),
166,Data Production Analyst,"Claremont, Western Cape",Kurtosys,
167,Data Analyst (PG 9),"Bellville, Western Cape",SPF: Actuarial,
168,IT Graduate/Data Engineer/Analyst (SQL/QlikView),"Cape Town, Western Cape",Fourier Recruitment,R180 000 - R240 000 a year
169,BI Data Analyst - Mr D Food,"Cape Town, Western Cape",takealot.com,
170,Data Analyst Intern,"Cape Town, Western Cape",Trusted Interns,R6 000 - R8 000 a month
171,Data Analyst,"Cape Town, Western Cape",PBT Group,
172,Data Analyst,"Cape Town, Western Cape",The Globevest Group,R20 000 - R40 000 a month
173,Data Analyst,"Bellville, Western Cape",Santam: Group Sourcing and Transformatio,
174,Data Analyst I - Price and Promotions,"Cape Town, Western Cape",Data Centrix,
175,Analyst,"Cape Town, Western Cape 8001",Financial Intelligence Centre (FIC),
176,Data Production Analyst,"Claremont, Western Cape",Kurtosys,
177,Data Analyst (PG 9),"Bellville, Western Cape",SPF: Actuarial,
178,IT Graduate/Data Engineer/Analyst (SQL/QlikView),"Cape Town, Western Cape",Fourier Recruitment,R180 000 - R240 000 a year
179,BI Data Analyst - Mr D Food,"Cape Town, Western Cape",takealot.com,
180,Data Analyst Intern,"Cape Town, Western Cape",Trusted Interns,R6 000 - R8 000 a month
181,Data Analyst,"Cape Town, Western Cape",PBT Group,
182,Data Analyst,"Cape Town, Western Cape",The Globevest Group,R20 000 - R40 000 a month
183,Data Analyst,"Bellville, Western Cape",Santam: Group Sourcing and Transformatio,
184,Data Analyst I - Price and Promotions,"Cape Town, Western Cape",Data Centrix,
185,Analyst,"Cape Town, Western Cape 8001",Financial Intelligence Centre (FIC),
186,Data Production Analyst,"Claremont, Western Cape",Kurtosys,
187,Data Analyst (PG 9),"Bellville, Western Cape",SPF: Actuarial,
188,IT Graduate/Data Engineer/Analyst (SQL/QlikView),"Cape Town, Western Cape",Fourier Recruitment,R180 000 - R240 000 a year
189,BI Data Analyst - Mr D Food,"Cape Town, Western Cape",takealot.com,
190,Data Analyst Intern,"Cape Town, Western Cape",Trusted Interns,R6 000 - R8 000 a month
191,Data Analyst,"Cape Town, Western Cape",PBT Group,
192,Data Analyst,"Cape Town, Western Cape",The Globevest Group,R20 000 - R40 000 a month
193,Data Analyst,"Bellville, Western Cape",Santam: Group Sourcing and Transformatio,
194,Data Analyst I - Price and Promotions,"Cape Town, Western Cape",Data Centrix,
195,Analyst,"Cape Town, Western Cape 8001",Financial Intelligence Centre (FIC),
196,Data Production Analyst,"Claremont, Western Cape",Kurtosys,
197,Data Analyst (PG 9),"Bellville, Western Cape",SPF: Actuarial,
198,IT Graduate/Data Engineer/Analyst (SQL/QlikView),"Cape Town, Western Cape",Fourier Recruitment,R180 000 - R240 000 a year
199,BI Data Analyst - Mr D Food,"Cape Town, Western Cape",takealot.com,
200,Data Analyst Intern,"Cape Town, Western Cape",Trusted Interns,R6 000 - R8 000 a month
201,Data Analyst,"Cape Town, Western Cape",PBT Group,
202,Data Analyst,"Cape Town, Western Cape",The Globevest Group,R20 000 - R40 000 a month
203,Data Analyst,"Bellville, Western Cape",Santam: Group Sourcing and Transformatio,
204,Data Analyst I - Price and Promotions,"Cape Town, Western Cape",Data Centrix,
205,Analyst,"Cape Town, Western Cape 8001",Financial Intelligence Centre (FIC),
206,Data Production Analyst,"Claremont, Western Cape",Kurtosys,
207,Data Analyst (PG 9),"Bellville, Western Cape",SPF: Actuarial,
208,IT Graduate/Data Engineer/Analyst (SQL/QlikView),"Cape Town, Western Cape",Fourier Recruitment,R180 000 - R240 000 a year
209,BI Data Analyst - Mr D Food,"Cape Town, Western Cape",takealot.com,
210,Data Analyst Intern,"Cape Town, Western Cape",Trusted Interns,R6 000 - R8 000 a month
211,Data Analyst,"Cape Town, Western Cape",PBT Group,
212,Data Analyst,"Cape Town, Western Cape",The Globevest Group,R20 000 - R40 000 a month
213,Data Analyst,"Bellville, Western Cape",Santam: Group Sourcing and Transformatio,
214,Data Analyst I - Price and Promotions,"Cape Town, Western Cape",Data Centrix,
215,Analyst,"Cape Town, Western Cape 8001",Financial Intelligence Centre (FIC),
216,Data Production Analyst,"Claremont, Western Cape",Kurtosys,
217,Data Analyst (PG 9),"Bellville, Western Cape",SPF: Actuarial,
218,IT Graduate/Data Engineer/Analyst (SQL/QlikView),"Cape Town, Western Cape",Fourier Recruitment,R180 000 - R240 000 a year
219,BI Data Analyst - Mr D Food,"Cape Town, Western Cape",takealot.com,
220,Data Analyst Intern,"Cape Town, Western Cape",Trusted Interns,R6 000 - R8 000 a month
221,Data Analyst,"Cape Town, Western Cape",PBT Group,
222,Data Analyst,"Cape Town, Western Cape",The Globevest Group,R20 000 - R40 000 a month
223,Data Analyst,"Bellville, Western Cape",Santam: Group Sourcing and Transformatio,
224,Data Analyst I - Price and Promotions,"Cape Town, Western Cape",Data Centrix,
225,Analyst,"Cape Town, Western Cape 8001",Financial Intelligence Centre (FIC),
226,Data Production Analyst,"Claremont, Western Cape",Kurtosys,
227,Data Analyst (PG 9),"Bellville, Western Cape",SPF: Actuarial,
228,IT Graduate/Data Engineer/Analyst (SQL/QlikView),"Cape Town, Western Cape",Fourier Recruitment,R180 000 - R240 000 a year
229,BI Data Analyst - Mr D Food,"Cape Town, Western Cape",takealot.com,
230,Data Analyst Intern,"Cape Town, Western Cape",Trusted Interns,R6 000 - R8 000 a month
231,Data Analyst,"Cape Town, Western Cape",PBT Group,
232,Data Analyst,"Cape Town, Western Cape",The Globevest Group,R20 000 - R40 000 a month
233,Data Analyst,"Bellville, Western Cape",Santam: Group Sourcing and Transformatio,
234,Data Analyst I - Price and Promotions,"Cape Town, Western Cape",Data Centrix,
235,Analyst,"Cape Town, Western Cape 8001",Financial Intelligence Centre (FIC),
236,Data Production Analyst,"Claremont, Western Cape",Kurtosys,
237,Data Analyst (PG 9),"Bellville, Western Cape",SPF: Actuarial,
238,IT Graduate/Data Engineer/Analyst (SQL/QlikView),"Cape Town, Western Cape",Fourier Recruitment,R180 000 - R240 000 a year
239,BI Data Analyst - Mr D Food,"Cape Town, Western Cape",takealot.com,
240,Data Analyst Intern,"Cape Town, Western Cape",Trusted Interns,R6 000 - R8 000 a month
241,Data Analyst,"Cape Town, Western Cape",PBT Group,
242,Data Analyst,"Cape Town, Western Cape",The Globevest Group,R20 000 - R40 000 a month
243,Data Analyst,"Bellville, Western Cape",Santam: Group Sourcing and Transformatio,
244,Data Analyst I - Price and Promotions,"Cape Town, Western Cape",Data Centrix,
245,Analyst,"Cape Town, Western Cape 8001",Financial Intelligence Centre (FIC),
246,Data Production Analyst,"Claremont, Western Cape",Kurtosys,
247,Data Analyst (PG 9),"Bellville, Western Cape",SPF: Actuarial,
248,IT Graduate/Data Engineer/Analyst (SQL/QlikView),"Cape Town, Western Cape",Fourier Recruitment,R180 000 - R240 000 a year
249,BI Data Analyst - Mr D Food,"Cape Town, Western Cape",takealot.com,
250,Data Analyst Intern,"Cape Town, Western Cape",Trusted Interns,R6 000 - R8 000 a month
251,Data Analyst,"Cape Town, Western Cape",PBT Group,
252,Data Analyst,"Cape Town, Western Cape",The Globevest Group,R20 000 - R40 000 a month
253,Data Analyst,"Bellville, Western Cape",Santam: Group Sourcing and Transformatio,
254,Data Analyst I - Price and Promotions,"Cape Town, Western Cape",Data Centrix,
255,Analyst,"Cape Town, Western Cape 8001",Financial Intelligence Centre (FIC),
256,Data Production Analyst,"Claremont, Western Cape",Kurtosys,
257,Data Analyst (PG 9),"Bellville, Western Cape",SPF: Actuarial,
258,IT Graduate/Data Engineer/Analyst (SQL/QlikView),"Cape Town, Western Cape",Fourier Recruitment,R180 000 - R240 000 a year
259,BI Data Analyst - Mr D Food,"Cape Town, Western Cape",takealot.com,
260,Data Analyst Intern,"Cape Town, Western Cape",Trusted Interns,R6 000 - R8 000 a month
261,Data Analyst,"Cape Town, Western Cape",PBT Group,
262,Data Analyst,"Cape Town, Western Cape",The Globevest Group,R20 000 - R40 000 a month
263,Data Analyst,"Bellville, Western Cape",Santam: Group Sourcing and Transformatio,
264,Data Analyst I - Price and Promotions,"Cape Town, Western Cape",Data Centrix,
265,Analyst,"Cape Town, Western Cape 8001",Financial Intelligence Centre (FIC),
266,Data Production Analyst,"Claremont, Western Cape",Kurtosys,
267,Data Analyst (PG 9),"Bellville, Western Cape",SPF: Actuarial,
268,IT Graduate/Data Engineer/Analyst (SQL/QlikView),"Cape Town, Western Cape",Fourier Recruitment,R180 000 - R240 000 a year
269,BI Data Analyst - Mr D Food,"Cape Town, Western Cape",takealot.com,
270,Data Analyst Intern,"Cape Town, Western Cape",Trusted Interns,R6 000 - R8 000 a month
271,Data Analyst,"Cape Town, Western Cape",PBT Group,
272,Data Analyst,"Cape Town, Western Cape",The Globevest Group,R20 000 - R40 000 a month
273,Data Analyst,"Bellville, Western Cape",Santam: Group Sourcing and Transformatio,
274,Data Analyst I - Price and Promotions,"Cape Town, Western Cape",Data Centrix,
275,Analyst,"Cape Town, Western Cape 8001",Financial Intelligence Centre (FIC),
276,Data Production Analyst,"Claremont, Western Cape",Kurtosys,
277,Data Analyst (PG 9),"Bellville, Western Cape",SPF: Actuarial,
278,IT Graduate/Data Engineer/Analyst (SQL/QlikView),"Cape Town, Western Cape",Fourier Recruitment,R180 000 - R240 000 a year
279,BI Data Analyst - Mr D Food,"Cape Town, Western Cape",takealot.com,
280,Data Analyst Intern,"Cape Town, Western Cape",Trusted Interns,R6 000 - R8 000 a month
281,Data Analyst,"Cape Town, Western Cape",PBT Group,
282,Data Analyst,"Cape Town, Western Cape",The Globevest Group,R20 000 - R40 000 a month
283,Data Analyst,"Bellville, Western Cape",Santam: Group Sourcing and Transformatio,
284,Data Analyst I - Price and Promotions,"Cape Town, Western Cape",Data Centrix,
285,Analyst,"Cape Town, Western Cape 8001",Financial Intelligence Centre (FIC),
286,Data Production Analyst,"Claremont, Western Cape",Kurtosys,
287,Data Analyst (PG 9),"Bellville, Western Cape",SPF: Actuarial,
288,IT Graduate/Data Engineer/Analyst (SQL/QlikView),"Cape Town, Western Cape",Fourier Recruitment,R180 000 - R240 000 a year
289,BI Data Analyst - Mr D Food,"Cape Town, Western Cape",takealot.com,
290,Data Analyst Intern,"Cape Town, Western Cape",Trusted Interns,R6 000 - R8 000 a month
291,Data Analyst,"Cape Town, Western Cape",PBT Group,
292,Data Analyst,"Cape Town, Western Cape",The Globevest Group,R20 000 - R40 000 a month
293,Data Analyst,"Bellville, Western Cape",Santam: Group Sourcing and Transformatio,
294,Data Analyst I - Price and Promotions,"Cape Town, Western Cape",Data Centrix,
295,Analyst,"Cape Town, Western Cape 8001",Financial Intelligence Centre (FIC),
296,Data Production Analyst,"Claremont, Western Cape",Kurtosys,
297,Data Analyst (PG 9),"Bellville, Western Cape",SPF: Actuarial,
298,IT Graduate/Data Engineer/Analyst (SQL/QlikView),"Cape Town, Western Cape",Fourier Recruitment,R180 000 - R240 000 a year
299,BI Data Analyst - Mr D Food,"Cape Town, Western Cape",takealot.com,
300,Data Analyst Intern,"Cape Town, Western Cape",Trusted Interns,R6 000 - R8 000 a month
301,Data Analyst,"Cape Town, Western Cape",PBT Group,
302,Data Analyst,"Cape Town, Western Cape",The Globevest Group,R20 000 - R40 000 a month
303,Data Analyst,"Bellville, Western Cape",Santam: Group Sourcing and Transformatio,
304,Data Analyst I - Price and Promotions,"Cape Town, Western Cape",Data Centrix,
305,Analyst,"Cape Town, Western Cape 8001",Financial Intelligence Centre (FIC),
306,Data Production Analyst,"Claremont, Western Cape",Kurtosys,
307,Data Analyst (PG 9),"Bellville, Western Cape",SPF: Actuarial,
308,IT Graduate/Data Engineer/Analyst (SQL/QlikView),"Cape Town, Western Cape",Fourier Recruitment,R180 000 - R240 000 a year
309,BI Data Analyst - Mr D Food,"Cape Town, Western Cape",takealot.com,
310,Data Analyst Intern,"Cape Town, Western Cape",Trusted Interns,R6 000 - R8 000 a month
311,Data Analyst,"Cape Town, Western Cape",PBT Group,
312,Data Analyst,"Cape Town, Western Cape",The Globevest Group,R20 000 - R40 000 a month
313,Data Analyst,"Bellville, Western Cape",Santam: Group Sourcing and Transformatio,
314,Data Analyst I - Price and Promotions,"Cape Town, Western Cape",Data Centrix,
315,Analyst,"Cape Town, Western Cape 8001",Financial Intelligence Centre (FIC),
316,Data Production Analyst,"Claremont, Western Cape",Kurtosys,
317,Data Analyst (PG 9),"Bellville, Western Cape",SPF: Actuarial,
318,IT Graduate/Data Engineer/Analyst (SQL/QlikView),"Cape Town, Western Cape",Fourier Recruitment,R180 000 - R240 000 a year
319,BI Data Analyst - Mr D Food,"Cape Town, Western Cape",takealot.com,
320,Data Analyst Intern,"Cape Town, Western Cape",Trusted Interns,R6 000 - R8 000 a month
321,Data Analyst,"Cape Town, Western Cape",PBT Group,
322,Data Analyst,"Cape Town, Western Cape",The Globevest Group,R20 000 - R40 000 a month
323,Data Analyst,"Bellville, Western Cape",Santam: Group Sourcing and Transformatio,
324,Data Analyst I - Price and Promotions,"Cape Town, Western Cape",Data Centrix,
325,Analyst,"Cape Town, Western Cape 8001",Financial Intelligence Centre (FIC),
326,Data Production Analyst,"Claremont, Western Cape",Kurtosys,
327,Data Analyst (PG 9),"Bellville, Western Cape",SPF: Actuarial,
328,IT Graduate/Data Engineer/Analyst (SQL/QlikView),"Cape Town, Western Cape",Fourier Recruitment,R180 000 - R240 000 a year
329,BI Data Analyst - Mr D Food,"Cape Town, Western Cape",takealot.com,
330,Data Analyst Intern,"Cape Town, Western Cape",Trusted Interns,R6 000 - R8 000 a month
331,Data Analyst,"Cape Town, Western Cape",PBT Group,
332,Data Analyst,"Cape Town, Western Cape",The Globevest Group,R20 000 - R40 000 a month
333,Data Analyst,"Bellville, Western Cape",Santam: Group Sourcing and Transformatio,
334,Data Analyst I - Price and Promotions,"Cape Town, Western Cape",Data Centrix,
335,Analyst,"Cape Town, Western Cape 8001",Financial Intelligence Centre (FIC),
336,Data Production Analyst,"Claremont, Western Cape",Kurtosys,
337,Data Analyst (PG 9),"Bellville, Western Cape",SPF: Actuarial,
338,IT Graduate/Data Engineer/Analyst (SQL/QlikView),"Cape Town, Western Cape",Fourier Recruitment,R180 000 - R240 000 a year
339,BI Data Analyst - Mr D Food,"Cape Town, Western Cape",takealot.com,
340,Data Analyst Intern,"Cape Town, Western Cape",Trusted Interns,R6 000 - R8 000 a month
341,Data Analyst,"Cape Town, Western Cape",PBT Group,
342,Data Analyst,"Cape Town, Western Cape",The Globevest Group,R20 000 - R40 000 a month
343,Data Analyst,"Bellville, Western Cape",Santam: Group Sourcing and Transformatio,
344,Data Analyst I - Price and Promotions,"Cape Town, Western Cape",Data Centrix,
345,Analyst,"Cape Town, Western Cape 8001",Financial Intelligence Centre (FIC),
346,Data Production Analyst,"Claremont, Western Cape",Kurtosys,
347,Data Analyst (PG 9),"Bellville, Western Cape",SPF: Actuarial,
348,IT Graduate/Data Engineer/Analyst (SQL/QlikView),"Cape Town, Western Cape",Fourier Recruitment,R180 000 - R240 000 a year
349,BI Data Analyst - Mr D Food,"Cape Town, Western Cape",takealot.com,
